کسانی کین بهشت جاودانی	طلبکارند اندر زندگانی
بسی خوردم غم و خون جگر من	نبردم راه از کویت بدر من
ره از کوی تو بیرون نیست دانم	که هر دو در یقین یکیست دانم
ره از کوی تو چون بر در نباشد	حقیقت جز یکی رهبر نباشد
بسی در کوی تو زحمت کشیدم	گهی در خاک و گه در خون طپیدم
بسی در کوی تو بردم غم تو	ندیدم هیچکس راهمدم تو
بسی در کوی تو از ناتوانی	حقیقت بردهام جانا تو دانی
بسی بردم در این کوی تو خواری	ز هر ناکس بسی فریاد و خواری
تو میدانی که عطّارست خسته	در این کوی تو جانا دل شکسته
دل او هم تو بشکستی در اینجا	اگرچه بر خودش بستی در اینجا
نظر اندر دل بشکسته داری	از آنش با خود او پیوسته داری
از آن پیوسته با تو در نمودت	که بُد پیوسته اندر بود بودت
از آن پیوسته شد در نور پاکت	که او پیوسته بُد در دید خاکت
از آن پیوسته شد اندر جلالت	از آن پیوسته او اندر کمالت
از آن پیوسته شد در قربتِ تو	که از تو یافت جانان عزّت تو
از آن پیوسته شد در دید الّا	که هم از تو زد اینجاگه تولّا
از آن پیوسته شد در حضرت تو	که یکی دید اندر قدرت تو
همه دیدار تو دید از یقین است	یقین دان او یمین اوّلین است
همه دیدار تو دید از یقین او	که بود اندر عنایت پیش بین او
وصالت را نیابد جز وصالت	جلالت مینبیند جز جلالت
تو هم تو خویشتن بنموده باز	حقیقت بود خود بربودهٔ باز
بهردم کسوتی دیگر برآری	من اندر دید آنم پایداری
مرا جز دیدن تو هیچ نبود	از اول هیچ آخر هیچ نبود
از این جاگه کمالی یافتستم	از آن بُد گر وصالی یافتستم
حقیقت گر چه گفت آمد پدیدار	درون پرده کلّی خود خریدار
درون پرده بیرونم گرفتی	یقین در خاک و در خونم گرفتی
درون پردهٔ در پردهٔ تو	حقیقت خویشتن گم کردهٔ تو
درون پردهٔ در عزّ و اعزاز	همی خواهم که اندازی مراین باز
براندازی مر این پرده درآخر	کنی دیدار خود را جمله ظاهر
کنی دیدار مر بیچارگانت	که میجویند در پرده نهانت
تو اظهاری و نی در هفت پرده	حقیقت ره بسوی شاه برده
منم این پرده از هم بر دریده	به بیشرمی وصالت باز دیده
ولی چون هر نفس در پرده یابی	حقیقت پردهٔ دیگر بیابی
ولی چون من چنین در رازم ای جان	تو خود مگشای پرده بازم ای جان
حقیقت جان و هم این پرده بگشای	مرا رخ از درون پرده بنمای
درون پرده را عشاق گشتی	مکن بر بی دلان خود درشتی
اسیران را کشی اینجا تو در ناز	همه کشته شدند و بس تو درناز
روا باشد که عاشق را کشی تو	کنی با عاشقانت سر کشی تو
همه ازوصل تو پوئی طلبکار	در این میدان همه گوئی طلبکار
در این میدان بخون آلودگانت	فتادستند مر بیچارگانت
در این میدان بسی کشتی بزاری	حقیقت هم تو خود رحمی نداری
در این میدان چه جای گفتگویست	گرم گردان کنی سر همچو گویست
در این میدان تو من گفتهام راز	سرم از تن تو چون گوئی بینداز
در این میدان تو من راز گفتم	ابا جمله حقیقت باز گفتم
در این میدان زدم من گوی شوقت	سخن گفتم یقین از روی ذوقت
در این میدان زنم گوی دمادم	که بردستم حقیقت گویت این دم
در این میدان زنم من گوی دیدت	شوم در عین میدان ناپدیدت
در این میدان عشقت پایدارم	زنم گوی حقیقت جای دارم
در این میدان منم چون گوی خسته	فتاده عاقبت چوگان شکسته
در این میدان اگر درتک و تازم	دگرگوئی دمی از عشق بازم
مکن عطّار از این برگوی بازی	بگو تا چند خواهی گوی بازی
مکن عطّار در میدان دلدار	چو گوئی باش سرگردان دلدار
مکن عطّار در گوئی تو از راز	در این میدان سرت چون گوی انداز
چو گوئی سر در این میدان بیفکن	ز دست خویشتن چوگان بیفکن
بیفکن گوی و چوگان هر دو ازدست	که دیدت این زمان با یار پیوست
وصال دوست چوگانست و تو گوی	سخن از وصل آن چوگان همی گوی
سخن از وصل گوی و زلف چوگان	که دلدارست زلفش، همچو چوگان
دلت در زلف چون چوگان چو گویست	از آن پیوسته اندر گفتگویست
از آن چوگان زلفش گوی دلها	در این میدان خاک افتاده غوغا
از این میدان خاک افتاده چون گوی	دل عشاق اندر جستن و جوی
دل تو همچو گوئی اوفتادست	عجائب سر در این میدان نهادست
در این میدان بسی دلهاست خسته	چو گوی اندر خم چوگان شکسته
بسی دلها در این میدان فتادست	چو گوی اندر خم چوگان فتادست
در این میدان وحدت رازدارم	چو گوئی درخم چوگان یارم
در این میدان وحدت راز جویم	که مر چوگان آن دلدار گویم
سر خود همچو گوئی باختم من	در این میدان عشق انداختم من
سر خود همچو گوی انداختم باز	در این میدان تو من باختم باز
بخواهم باخت سر مانند گوئی	که تا عشاق از آن مانند گوئی
چو میدانم که خواهی کشتنم زار	همی گویم مر این معنی بناچار
دراین میدان تو منصور دارم	تو چون منصور کن بر سوی دارم
نه چندانست وصف یار و میدان	که بتوان گفت اندر گوی و چوگان
معانی بیش از اندازه است در دل	که در این سر توانم کرد حاصل
معانی بیش از اندازه است در جان	که گنجد اندر این اجسام جانان
نمیگنجد حقیقت راز در دل	اگرچه من شدم از دوست واصل
نمیگنجد حقیقت ذات اینجا	همی پنهان کنم ذرّات اینجا
رسیدست وقت کشتن چند گویم	توئی با من حقیقت چند جویم
توئی با ما و ما طاقت نداریم	در این جان و در این راحت نداریم
توئی با ما و ما ازتو پدیدار	بسر گشتیم عشقت را خریدار
ز وصلت ما اگر بسیار گفتیم	دُرِ اسرار بسیاری بسُفتیم
مرا زین صورت اینجاگه برون کن	تنم اینجایگه پر موج خون کن
من این صورت نمیخواهم در اینجا	مر تا چند باشد شور و غوغا
دلم پر خون شده از بیهوده گفتن	نمییارد دگر جانم شنفتن
چنان جانم شده است از خویشتن پاک	که میخواهد که باشد خاک در خاک
چنان جانم ز خود بیزار گشته است	که در یکی حقیقت بازگفتست
برو ای خاک شوی خاک خوش شو	تو از عطّار این اسرار بشنو
برو ای خاک در سوی مکانت	که اینجاگه بیابی جان جانت
برو ای خاک و کلّی در فنا باش	بسوی مسکنت عین بقا باش
برو ای خاک و واصل شو تو در وصل	که اندر خویش خواهی یافتن وصل
برو ای خاک اندر اصل دیدار	هم اندر خویشتن شو ناپدیدار
برو ای خاک درعین الیقینت	هم اندر خویشتن بین اوّلینت
برو ای خاک اندر جوهر خود	حقیقت بازبین از خود تو در خود
برو ای خاک در کوی جانان	فنا شو بیشکی در کوی جانان
برو ای خاک اندر معدن کل	که بسیاری کشیدی رنج با ذل
برو ای خاک اندر مسکن دید	که خواهی شد یکی در عین توحید
برو ای خاک و بشنو راز خویشت	ز خود بین مر عیان آغاز خویشت
برو ای خاک و کلّی شو ز خود پاک	که تا گردی حقیقت تو زخود پاک
فنا شو خاک آنگاهی لقا بین	نمود خویش بیچون و چرا بین
فنا شو خاک اندر سوی منزل	که مقصود تو خواهد گشت حاصل
فنا شو خاک اندر حضرت دوست	که خواهی گشت مغز ارچه توئی پوست
فنا شو خاک تا جانان ببینی	توئی راز خودت پنهان ببینی
فنا شو خاک تا یابی تو اسرار	که گردانم ترا از خود خبردار
فنا شو خاک تا گردی حقیقت	تو چون جانان شوی پاک از طبیعت
فنا شو خاک در اسرار بیچون	که تا جانان بیابی بیچه و چون
فنا شو خاک و لا شو تا ز الاّ	بیابی سرّ و کل گردی هویدا
فنا شو خاک چون دیدار گفتیم	ترا هر سر در این اسرار گفتیم
فنا شو خاک و اینجا باد بگذار	ببادش پرده و بادیش پندار
فنا شو خاک اندر باد منگر	که تا بادست اینجاگه سراسر
فنا شو خاک و باد از خود بینداز	یقین در دید جانان سر برافراز
فنا شو خاک و باد اینجا ببین تو	درون خویشتن را راز بین تو
فنا شو خاک و باد اینجا روانه	کن از خود تا تو باشی جاودانه
فنا شو خاک و باد اینجا درونت	بیفکن ازخود و خود کن برونت
فنا شو خاک و باد از پیش بردار	که تو اندر فنائی صاحب اسرار
فنا شو خاک و آب اینجا خبر کن	که با او بودهٔ هم او نظر کن
فنا شو خاک و او را ده وصالش	چو خود اندر تجلّی جلالش
فنا شو خاک و آتش را بسوزان	حقیقت آب در آتش فروزان
فنا شو خاک و آتش را رها کن	حقیقت آب و آتش هم فنا کن
فنا شو تا یکی بینی تو در چار	یکی اصلست آخر این بناچار
 زیک اصلید اینجا بازماندید	ابا همدیگرش دمساز ماندید
فنا خواهید شد هر چار دوست	که با مغزت نخواهد ماند چون پوست
فنا خواهید شد هر چار در یار	حقیقت لاشوید و لیس فی الدّار
فنا خواهید شد هر چار در دید	یکی خواهید شد در سرّ توحید
فنا خواهید شد هر چار در اسم	که پیدا هم نماند صورت و جسم
فنا خواهید شد هر چار تحقیق	که آخر مر شما را هست توفیق
فنا خواهید شد هر چار اینجا	حقیقت آن زمان گردید یکتا
فنا خواهید شد هر چار در ذات	یکی خواهید بودن عین آیات
فنا گردید و آنگه راز بینید	وصال جاودانی باز بینید
فنا گردید و آنگه جان نمائید	چو خورشید یقین رخشان نمائید
فنا گردید پیش از آن در اینجا	که گردانندتان اینجا هویدا
فنا گردید از دید زمانه	که تا گردید ذات جاودانه
فنا گردید همچون اصل اوّل	که خواهد بودتان اینجا مبدّل
فنا گردید اندر ذات بیچون	که تا گردید اعیان بیچه و چون
حقیقت چون شما را رفت باید	چنین اینجا بماندن را نشاید
فنا گردید اینجا ای دل و جان	که تا یابید در خود جان جانان
حقیقت چون شما را آخر کار	حقیقت مر فنا آمد پدیدار
حقیقت چون زیک اصلید و جوهر	بمعنی هر یکی در هفت کشور
وجود آدم از بود شما شد	حقیقت از شما اینجا فنا شد
فنا شد از شما آدم در اینجا	حقیقت رفت سوی دوست یکتا
شما نیز این زمان عین فنائید	که اینجاگاه نقشی مینمائید
خبر دادم شما را از شما را	که خواهد بودتان آخر فنا را
خبر دادم شما را راز بینید	چنی فارغ یقین تا کی نشینید
خبر دادم شما را از خداوند	که کلّیتان برون آرد از این بند
خبر دادم شما را بیچه و چون	که خواهید این زمان بودن دگرگون
شما را تا خبر باشد فنایست	حقیقت آخر این عین لقایست
در آخر هر چهار از هم جدائید	از این صورت طلبکار بقائید
در این صورت نخواهید از معانی	نمائید اندر اینجا جاودانی
در این صورت نمی مانید جاوید	بباید رفتتان در عین خورشید
بباید رفتتان در چارهٔ نیست	چه غم دارید آخر چون یکی زیست
نمود بودتان در آخر کار	یکی خواهد بدن در عین دیدار
نمود بودتان در جمله اشیاء	ز پنهانی شود آن لحظه پیدا
نمود بودتان در جزو و کل دید	شود یکی عیان در عین توحید
نمود بودتان آخر یکی است	اگرچه اندر اینجا بیشکی است
یکی خواهید شد در سرّ جوهر	ز باطن آنگهی آئید ظاهر
یکی خواهید بودن همچو خورشید	نباشدتان ز اوّل هست جاوید
شوید آنگه عیان گردید در یار	خبرتان میدهد در عشق عطّار
شوید آنگه عیان و دوست گردید	در آخر همچو دید ذات فردید
حقیقت یار خواهی در ره خویش	حجاب اینجا براندازید از پیش
حجاب اینجا براندازید از رخ	که حقتان میدهد اینجای پاسخ
حجاب اینجا براندازید از دل	که مقصودست اندر دید حاصل
حجاب اینجا براندازید از جان	که جان تحقیق آمد دید جانان
حجاب اینجا براندازید از ذات	یکی گردید عین جمله ذرّات
حجاب اینجا براندازید لائید	حقیقت اندر آن لاکل خدائید
حجاب اینجا نخواهد ماند بیشک	شو ای خاکِ مبارک در عیان یک
حجاب اینجا نخواهد ماند در ذات	شو از تحقیق نادان عین آیات
حجاب اینجا نماند آتش خوش	تو هم سوی وصال کل علم کش
سوی مسکن شو ای آتش یقین تو	که محوی اندر آتش همچنین تو
سوی مسکن شو ای باد همایون	که گفتم سر کُلتان بیچه و چون
جدا خواهید شد تا خوش بدانید	کنون زین منزل ناخوش برانید
از این منزل برانید از دل پاک	حقیقت نار و ریح و آب با خاک
دل آن منزل وصال کل شما راست	کنون گفتم حقیقت با شما راست
در آن منزل وصال کل عیانست	شما را بیشکی راز نهانست
در آن منزل یکی خواهید بودن	بسی سر در یکی باید نمودن
شما را اوّل و آخر نبودست	حقیقت بودتان از بود بودست
شما را اوّل و آخر عیانست	در اوّل نقش آخر بی نشانست
شما را اوّل و آخر هویداست	حقیقت بودتان پنهان و پیداست
شما را اوّل و آخر یکی بود	ز ذات اعیان صفاتت اندکی بود
عجب اول در آن حضرت که بودید	از آن حضرت سوی فطرت فزودید
از آن حضرت گذر کردید بیشک	سوی دید صفات عقل در یک
از آن حضرت جدا گشتید بی دید	نه خارج بود الاّ عین توحید
از آن حضرت که بد اعیان ذاتش	گذرکردند در سوی صفاتش
حقیقت آتش از اینجا بُد آنجا	ره بود فنا کردی هویدا
سوی بادی در اینجاگه سوی آب	کند گردی در اینجاگه باشتاب
سوی خاک آمدی و خاک هستی	حقیقت نور نور پاک هستی
سوی خاک آمدی بس خرّم و خَوش	ولی آخر شدی در عشق سرکش
سوی خاک آمدی و بود معبود	که تقدیر تو ازوی همچنین بود
سوی خاک آمدی از حضرت ذات	وطن کردی عجب در عین ذرّات
سوی خاک آمدی از منزل جان	ترا آمد حقیقت جان جانان
سوی خاک آمدی و جان شدی تو	ز پیدائی خود پنهان شدی تو
سوی خاک آمدی و کل شدی راز	عجب دیدی ز خود انجام و آغاز
سوی خاک آمدی اوّل ز افلاک	وطنگاه تو شد این کرهٔ خاک
سوی خاک آمدی یال الثرابی	چو از اینجا بدانجا میشتابی
سوی خاک آمدی و نقش بستی	بآخر عهد در اینجا شکستی
سوی خاک آمدی و باد گشتی	تو زین نقش فنا آباد گشتی
سوی خاک آمدی جان ودلی تو	امید جان و دید حاصلی تو
سوی خاک آمدستی از تجلّی	دگر خواهی شدن در عین الاّ
سوی خاک آمدی عین العیانت	شد از خاک نهان پیدا عیانت
سوی خاکی و باد آباد کرده	ز اوّل خیوش را کل یاد کرده
سوی خاکی و جان در وی رسیدی	که از نور تجلّی کل پدیدی
سوی خاکی و جان از تست مشهور	حقیقت دانمت نورٌ علی نور
سوی خاکی وز خاکت عیانست	ترا اینجا نمود جسم و جانست
سوی خاکی عیان بین ذات اینجا	که خواهی دید در ذرّات اینجا
سوی خاکی و اسرار وجودی	عیانِ ذات را سرّی نمودی
سوی خاکی و سرّ لایزالی	زماضی سوی مستقبل تو حالی
سوی خاکی و نور افروز کرده	ز نور خویش طین فیروز کرده
سوی خاکی و هر سه از تو معروف	توئی عین العیان و ذات موصوف
سوی خاکی و نور در تجلّی	ندیده این زمان اسرار مولی
تو نوری این زمان در عین ناری	فتاده اندر این نقش وغباری
تو نوری این زمان در خاک بوده	ز باد و آب مر نقشی نموده
تو نوری این زمان نار یقینی	در این هر سه بکل در پیش بینی
تو نوری این زمان دیدی سرانجام	در اینجاگاه هم آغاز و انجام
تو نوری و در این دریا فتاده	بهر دل شعلهٔ بر دل گشاده
تو نوری و در این دریای اسرار	عیان پرتو ز خود کردست اظهار
تو نوری و در این دریای جانی	کنون اسرار پیدا و نهانی
تو نوری ودر این دریای ذاتی	کنون اعیان و پنهان صفاتی
تو نوری این زمان زاندم نزاده	درون جسم این در را گشاده
تو نوری این دم و آن دم بدیده	وجودعالم و آدم بدیده
تو نوری این دم و آن دم بدیده	درون جان و دل آدم بدیده
تو نوری تو نوری این دم و آن نور دیدی	در این دم کل بدان دم در رسیدی
تو نوری این دم و آن دم نظر کن	جمال خویش در آدم نظر کن
تو نوری این دم و آن دم ببین تو	بنور خویشتن عالم ببین تو
ز نور تست اینجا آدم از گِل	ز نورت مر ورا مقصود حاصل
ز نور تست آدم در هویدا	ز گرمیّ تو شد آدم مصفّا
ز نور تست گفت و گوی آدم	که میگوئی حقیقت راز آدم
ز نورتست تابان جوهر دل	ز نورت جان شده اینجای واصل
ز نورتست تابان جوهر جان	چنین خاکست چون خورشید تابان
ز نورتست پیدا جوهر تن	دم کل میزنی در ما و در من
ز نورتست پیدا آسمانها	توئی اعیان یقین در جمله جانها
ز نورتست پیدا نور خورشید	که در وی محو خواهی ماند جاوید
ز نور تست پیدا جوهر ماه	ز دید تو گُدازد ماه هر ماه
ز نور تست پیدا جمله انجم	توئی در خاک و انجم در تو شد گم
ز نورتست پیدا عرش و کرسی	که پیوسته توئی در نور قدسی
ز نور تست پیدا لوح بیشک	قلم کرده ترا اینجا از آن یک
ز نور تست پیدا جنّت و حور	تو کردی جنّت اینجاگاه مشهور
ز نور تست پیدا جمله دوزخ	فسرده میشود اندر تو چون یخ
ز نورتست بحر و کان و گوهر	حقیقت برتری از هفت اخضر
حقیقت آتشی و عشق سرکش	ترا دانند اینجا عشق آتش
عجب نوری که در گردون فتاده	ندانم تا در اینجا چون فتاده
در اینجا شورش و غوغا هم از تست	که این دم گرمی و سودا هم از تست
در اینجا چون نمودار صفاتی	ولی آخر عجائب بی ثباتی
در اینجا در رگ و پی ناب داری	در آن حضرت عجب اشتاب داری
در اینجا آمده از علو در سِفل	شدی بالغ ولی ماندی عجب طفل
مکن گرمی و سودا را برون کن	حقیقت ذات خود را رهنمون کن
مکن گرمی که عشّاق جهانت	همی دانند اسرار نهانت
مکن گرمی دو روزی باش فارغ	که خواهی گشت در آخر تو بالغ
مکن گرمی و سودا را مینگیز	کنون با عاشق شوریده پرهیز
مکن گرمی که این گرمی نماند	حقیت خشکی و تری نماند
اگرچه تو حقیقت نور جسمی	فتاده این زمان در چار قسمی
ز یک اصلی همان کن مر طلب تو	دو روزی باش با جان در ادب تو
که این با تو حقیقت انس دارد	ابا تو بود خود را میگذارد
اگر آبتس هم از تست جوشان	درونِ دیگِ سودا در خروشان
اگر بادست دارد گرمی ازتو	حقیقت هست او در نرمی از تو
اگر خاکست اندر تست حیران	دو روزی هم ز تو ماندست تابان
اگر جانست و دل تاب تو دارد	نظر کردن سوی تو می نیارد
نخواهی رفت میدانند آخر	ترا میبنگرند اینجای آخر
دو روزی خوش بیاسا و مرو تو	دمی بنشین و پس چندین بدو تو
بسردانم دوئی تا جوهر ذات	بلای تو کشیدند جمله ذرّات
اگرچه سالکانت راه کردند	دل خود را ز تو آگاه کردند
تو آگاهی و آگاهی نداری	که اینجا آنچه میخواهی نداری
نظر کن جوهر جان را تو بنگر	وزین جوهر سوی هر چیز مگذر
نظر کن جوهر جان و تو بشناس	بسر چندین مرو جانا و بشناس
نظر کن تا زجانت راز بینی	تو ازجانی مرو تا باز بینی
نظر کن تا زجان مکشوف گردی	که اندر جان کنون اعیان و فردی
نظر کن تا زجان یابی تو مر بود	که در جان یابیت دیدار معبود
نظر کن تا زجان کامل شوی تو	حقیقت هم از او واصل شوی تو
ازو واصل شوی و بازیابی	سزد گر در سوی کلّی شتابی
ز جان واصل شو ای آتش بتحقیق	که ازجان باز خواهی یافت توفیق
ز جانواصل شو ای آتش عیانی	که تو در وی نشان بی نشانی
ز جان واصل شو اینجا باز بین راز	درون جان خویشی میسوز و میساز
خوشی میسوز اندر شمع جان تو	که دیدی این زمان خود در عیان تو
تو از جانی و تو ازجان خبردار	تو نیز از جان در اینجاگه خبردار
تو از جانی و جان از عین دیدست	دمادم با تو در گفت و شنید است
تو از جانی و جان از تو عیانست	حقیقت بود جوهر جان جانست
ز خود هر دو ز یک ذاتند اینجا	کنون در بود ذرّاتند اینجا
نه از هر دو یکی پیدا شدستید	چرا اینجایگه پیدا شدستید
نه هر دو از یکی گشتید موجود	حقیقت اصلتان از ذات کل بود
نه هر دو از یکی در جسم هستید	بصورت در دوئی اسم هستید
ز یک ذات آمدید و بود بودید	در آب و خاک روی خود نمودید
طلبکاراست باد وآب اینجا	شما را لیک خاک آید مصفّا
شما را خاک دیدست ازنهانی	شما در خاک موجود عیانی
شما را خاک دیدست از یکی باز	حقیقت او زبودش بیشکی باز
شما را خاک دید و گشت واصل	زدیدار عیانش هست واصل
شما را خاک دید و گشت روشن	حقیقت هست روحانی چو گلشن
شما را خاک دید ودر نمودار	برون آمد زجهل و عُجب و پندار
شما را خاک دید و ذات بیچون	شما را بوداینجا بیچه و چون
حقیقت خاک واصل از شما شد	ورا مقصود حاصل از شما شد
حقیقت خاک واصل از شمایست	از آن پیوسته در نور ولقایست
حقیقت خاک واصل شد ز جانباز	ز نور و نار دید اینجا نهان باز
یقین نورست جان آتش ز نارست	از این تا آن تفاوت بیشمار است
ولی چون اصل هر دو جوهر آمد	از آن ناچار اینجا برتر آمد
که جان نوریست کلّی ذات دیده	از آن منزل بدین منزل رسیده
یقین نوریست جاناز ذات مولی	نمود خویش کرده راز دنیا
یقین نوریست جان اندر خداگم	یکی پیوسته باشد نی جداگم
چو جان نوریست آتش عین نارست	از آن آتش در این ناپایدارست
چو جان نوریست نار افتاده در خاک	از آن آتش نهاده بر سر افلاک
که تا از علو جان کلّی ز ذاتست	بمعنی دان که معبود جهانست
حقیقت نار از عین صفاتست	اگرچه اصل او از نور ذاتست
نمیبینی تو آب اینجا روانه	نهاده سر ز عشق او بشانه
نمیبینی تو باد بی سر و پای	که میگردد یقین از جای بر جای
طلبکارند هر سه آتِش جان	روان گشته بهرجائی ببین هان
طلبکارند و طالب در میانه	بهر جانب شده آب روانه
طلبکارند و مطلوبست در جان	نمیدانند که محبوبست درجان
چو مطلوبست حاصل میندانند	از آن چون سالکان در ره روانند
چو محبوبست اندر عین دیدار	نمیدانید از آن هستند ناچار
چو محبوبست اینجا می چه جوئید	چرا در جان عیان خود نجوئید
چرا جوئید چون مقصود حاصل	نمیگردید اندر عشق واصل
چو محبوبست اینجا در میانه	نموده روی خود او جاودانه
چو محبوبست کل بنموده دیدار	چرا او را همی جوئید دریار
حقیقت نور بیچونست بی مر	که بنماید بخود بیحدّ و بی مرّ
هزاران نقش از خاکست بسته	درون جان ز حضرت باز بسته
هزاران نقش خاک اینجا ظهورست	حقیقت جان در آن اعیان نورست
هزاران نقش از خاکست موجود	چه گویم اندر او دیدار معبود
هزاران نقش در خاکست نقاش	نموده روی خود اینجایگه فاش
هزاران نقش در خاکست پیدا	نموده رخ در آن جانان هویدا
هزاران نقش در خاکست بنگر	بجز جانان در اینجاگاه منگر
هزاران نقش در خاکست دیدار	در او جانان نموده رخ در اسرار
حقیقت خاک نقش جان پاکست	بدان این سر که جمله دید پاکست
حقیقت نقش خاک از لامکانست	که اندر وی نهان راز جهان است
چهارند درک تن پیدا نمودند	در این دیگر ز بالا برگشودند
دو از بالا دو از شیبند پیدا	دو از ذات و دو اندر عشق شیدا
دو از بالا حقیقت آتش و باد	دوئی دیگر ز شیبش کرده آباد
یکی آتش دوم بادست بنگر	کز آن این هر دو آبادست بنگر
یکی آتش که موجود صفاتست	دوم باد است کز اعیان ذاتست
سوم آبست و چارم خاک آمد	که درهر چار روح پاک آمد
یکی آتش که آمد سرکش عشق	که میخوانند او را آتش عشق
دوم باد است کاندر دم دم آمد	از آن دم این دم اینجا همدم آمد
سوم آبست ز اصل نور زاده	چنین حیران چنان در ره فتاده
چهارم خاک اصل هر سه پیداست	که اندر خاک از ایشان شور و غوغاست
حقیقت وصف آتش چون شنفتی	یقینِ سرِّ آدم باز گفتی
دم باد از عیان لامکانست	که اندر جسم و جان راز نهانست
از آن دم باز بنگر تا بدانی	که یاد آمد یقین سرّ نهانی
از آن دم باز بنگر سوی صورت	فکنده دمدمه در جزو کویت
از آن دم آمد اینجا باد بیشک	شد ازوی جان ودل آباد بیشک
از آن دم آمد اینجا باز دیدی	حقیقت جز دمت او را ندیدی
از آن دم آمده راز نهانست	نفخت فیه من روحی عیانست
نفخت فیه من روحست در باد	که ذرّات جهان را میدهد داد
نفخت فیه من روحست زاندم	که اینجا میدهد بر کل دمادم
نفخت فیه من روحست زان ذات	که اینجا میدهد بر جمله ذرّات
نفخت فیه من روحست از اصل	که اینجا میدهد بر جسم و جان اصل
نفخت فیه من روحست روحست	که عالم را ازو فتح و فتوحست
نفخت فیه من روحست ازحق	که باقی میزند دم در اناالحق
نفخت فیه من روحست از راز	از آنجا سوی اینجا میدمد باز
نفخت فیه من روحست دمدم	مصفّا میکند آدم ز عالم
از آن ذاتست اینجا دم دمیده	دم خود در دم آدم دمیده
از آن ذاتست وصل از اوست بنگر	حقیقت جزو و کل از اوست بنگر
از آن ذاتست زان پنهان نماید	جمال خویشتن در جان نماید
از آن ذاتست و پنهانست در جان	که دارد نفخه اندر ذات جانان
از او جسمست اینجا راز دیده	از او خود را حقیقت باز دیده
از او دل یافتست این روشنائی	که دارد یاد اسرار خدائی
از اودل یافتست اینجای آرام	که در دل آمد او اینجا دلارام
از او دل یافتست اسرار اینجا	که خود را میکند اظهار اینجا
از آن دل یافتست اسرار بیچون	نموده روی خود در هفت گردون
از او دل یافت راحت اندر اینجا	از او بیند سعادت اندر اینجا
از او دل یافت راحت هر زمانی	ز شوقش میکند هر دم بیانی
از او دل یافت آگاهی و جان شد	چو او دل در حقیقت کل نهان شد
از او دل یافت آگاهی که حق دید	یکی شد همچو او در عین توحید
از او دل یافت وصل وآشنائی	نمیجوید دمی از وی جدائی
از او دل یافت سرّ لامکانی	که او داند یقین راز نهانی
دل از بادست روحانی حقیقت	از او آرایشی دارد طبیعت
دل از بادست زان اینجا خبردار	که اندر وی شد اینجا ناپدیدار
حقیقت دل چو از بادست زنده	شدست از جان دلش اینجای بنده
دل بیچاره زو آرام دیدست	از او آغاز و هم انجام دیدست
اگرچه پیر گشت امّا بخون بار	بود پیوسته او در رنج و تیمار
همان بادی شما را دل چو او دید	نظر کرد و درونش تو بتو دید
حقیقت زو خبردارست تحقیق	وز او دیده در اینجا سرّ توفیق
دل و جان هردو اندر خدمتت باد	همی دارد یقین ذرّات آباد
دل و جان را کند خدمت در اینجا	از آن دریافتست قربت در اینجا
دل و جان را کند خدمت که بادست	وی اندر سرّ جانان داد داد است
حقیقت جوهری بی منتهایست	دل و جان و وجود از وی صفایست
حقیقت جوهری از دید یار است	در او اسرارهای بیشمار است
حقیقت جوهری از لااله است	نفخت فیه من از روح اله است
حقیقت دارد اینجا گه فنائی	فنا اندر فنا و در بقائی
زهی سرّ نفخت فیه دیده	از آن منزل بدین منزل رسیده
کمال بی نشانی در تو پیدا	توئی در راه جانان کل مصفّا
کمال بی نشانی در تو موجود	توئی اینجا حقیقت اصل این بود
کمال بی نشانی داری اینجا	از آن در عشق برخورداری اینجا
دمادم میدمی در بی نشانی	از آن در عشق روح انس و جانی
دمادم میدمی از نفخهٔ ذات	حقیت زنده گردد جمله ذرات
دمادم میدمی در آن عیان تو	درون جان و دل داری عیان تو
دمادم میدمی اندر درونم	شدستی اندر اینجا رهنمونم
دمادم میدمی از هفت گردون	درون جان و دلها بیچه و چون
دمادم میدمی وز آندمی تو	حقیقت بود ذات آدمی تو
از آن دم دمدمه انداختستی	درون جان و دل بشناختستی
کمال خود از آن دم اندر این دم	که کلّی در دمیدی سوی آدم
حقیقت آدم از تو یافت اشیا	دم تو اندر او آمد هویدا
تو بادی مر ترا نی باد دانم	ترا از عین آن آباد دانم
تو از ذاتی و ذات اندر تو موجود	از آن پنهان شدستی تو زمقصود
همه ذرّات عالم زنده از تست	در اینجاگه حقیقت بنده از تست
از آن دم میدمی کز بی نشانی	حقیقت لامکان اندر مکانی
از آن دم میدمی در جمله جانها	از آن جانست اصل تو هویدا
از آن حضرت خبرداری تو از ره	فتادستی از آن گشتی تو آگه
بسی گردیدهٔ تو شیب و بالا	که تا این دم شدی در عشق یکتا
بی گردیدهٔ تا راز بینی	در این منزل عیانت باز بینی
تو با جان هر دو جانان تو در یک	یکی بینند ز آب و خاک بیشک
تو با ایشان بساز و سر میفراز	اگرچه در یقین هستی سرافراز
تو با ایشان بساز و راز بنگر	درون جان شهت را باز بنگر
درون جانی و خود را خبر کن	شه اندر جانت در رویش نظر کن
درون جان نظر کن شاه آفاق	بخود بنگر که هستی تو از آن طاق
درون جان تو با او هم جلیسی	مصفّائی نه چون نفس خسیسی
درون جان تو با یاری و او نیز	ترا بنموده اینجاگه همه چیز
درون جان و یارت در درونست	ترا در هردمی او رهنمونست
